#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
GSK3B	BHLHE41	1850681	1843637	ENSP00000324806	ENSP00000242728	0.000	0.000	0.000	0.000	0.000	0.960	0.000	0.113	0.963
APP	GRM6	1846936	1843281	ENSP00000284981	ENSP00000231188	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.663	0.964
DLG3	GRIN2C	1856101	1847389	ENSP00000363480	ENSP00000293190	0.000	0.000	0.000	0.000	0.000	0.596	0.360	0.856	0.959
BCL2	BCR	1851168	1848539	ENSP00000329623	ENSP00000303507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.719	0.719
DIRAS2	AKT1	1856374	1846136	ENSP00000364919	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.157	0.000	0.371	0.447
CACNG2	GRIN2D	1848138	1845322	ENSP00000300105	ENSP00000263269	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.234	0.632
AGTR1	GNRH2	1846323	1843789	ENSP00000273430	ENSP00000245983	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GNG2	MTNR1B	1851723	1844486	ENSP00000334448	ENSP00000257068	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.105	0.906
CRY2	ARNTL2	1860621	1845873	ENSP00000406751	ENSP00000266503	0.000	0.000	0.000	0.000	0.077	0.363	0.000	0.767	0.851
LHCGR	ESR1	1847515	1842435	ENSP00000294954	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.471	0.471
HTR2A	GRM5	1856916	1848814	ENSP00000367959	ENSP00000306138	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.517	0.949
CRY2	GSK3A	1860621	1842910	ENSP00000406751	ENSP00000222330	0.000	0.000	0.000	0.000	0.071	0.125	0.000	0.664	0.703
GABRR1	GABRB2	1860984	1846395	ENSP00000412673	ENSP00000274547	0.000	0.000	0.000	0.878	0.000	0.000	0.540	0.581	0.571
CARTPT	MCHR1	1847786	1843943	ENSP00000296777	ENSP00000249016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.472	0.472
BCL2	ESR1	1851168	1842435	ENSP00000329623	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.757	0.757
GRIP1	GRM1	1858557	1846816	ENSP00000381098	ENSP00000282753	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.434	0.434
MMP9	AGT	1855661	1854424	ENSP00000361405	ENSP00000355627	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.861	0.861
GNG2	GALR1	1851723	1848096	ENSP00000334448	ENSP00000299727	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.104	0.906
GRIN1	GRIK5	1855505	1845238	ENSP00000360608	ENSP00000262895	0.000	0.000	0.000	0.679	0.000	0.000	0.540	0.758	0.650
DRD3	GRM6	1857726	1843281	ENSP00000373169	ENSP00000231188	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.078	0.903
ACTN2	FIGNL1	1854402	1853429	ENSP00000355537	ENSP00000349356	0.000	0.000	0.000	0.000	0.000	0.438	0.000	0.000	0.438
FOXO3	ERBB3	1852227	1845918	ENSP00000339527	ENSP00000267101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.415	0.416
ADCY2	CALCA	1852643	1851388	ENSP00000342952	ENSP00000331746	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
HTR2B	MCHR1	1844597	1843943	ENSP00000258400	ENSP00000249016	0.000	0.000	0.000	0.629	0.000	0.000	0.900	0.171	0.905
IMPA1	INPP1	1860725	1850736	ENSP00000408526	ENSP00000325423	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.523	0.950
MTHFR	ABCB1	1856524	1845794	ENSP00000365775	ENSP00000265724	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.474	0.474
GNAS	AGT	1855402	1854424	ENSP00000360141	ENSP00000355627	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.180	0.914
GNG2	CRH	1851723	1846502	ENSP00000334448	ENSP00000276571	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.041	0.900
MDK	ERBB3	1853909	1845918	ENSP00000352852	ENSP00000267101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.423	0.423
BHLHE41	DBP	1843637	1842885	ENSP00000242728	ENSP00000222122	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.477
ARNTL	CREBBP	1857849	1845124	ENSP00000374357	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.592	0.900	0.379	0.972
BCL2	HSPA5	1851168	1850618	ENSP00000329623	ENSP00000324173	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.693	0.693
GRM2	DLG2	1858262	1856435	ENSP00000378492	ENSP00000365272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.735	0.736
CSNK1E	CRY1	1853917	1842155	ENSP00000352929	ENSP00000008527	0.000	0.000	0.000	0.000	0.000	0.991	0.900	0.593	0.999
ADRA2C	ADCY8	1859088	1847008	ENSP00000386069	ENSP00000286355	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.066	0.902
GSK3B	APOE	1850681	1844127	ENSP00000324806	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.415	0.414
BCL2	CASP3	1851168	1849375	ENSP00000329623	ENSP00000311032	0.000	0.000	0.000	0.000	0.000	0.842	0.000	0.944	0.990
DRD3	CNR2	1857726	1856124	ENSP00000373169	ENSP00000363596	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CAMK2B	GRIN1	1858327	1855505	ENSP00000379098	ENSP00000360608	0.000	0.000	0.000	0.000	0.000	0.149	0.900	0.709	0.973
ADRA1B	GRM5	1848870	1848814	ENSP00000306662	ENSP00000306138	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.089	0.905
ASTN2	ATP1A2	1854134	1854129	ENSP00000354504	ENSP00000354490	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.481	0.481
GRIN2A	GRM5	1851485	1848814	ENSP00000332549	ENSP00000306138	0.000	0.000	0.000	0.000	0.000	0.106	0.000	0.816	0.828
NDE1	CSNK1D	1852988	1850645	ENSP00000345892	ENSP00000324464	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CNR1	ADRA2A	1855040	1846654	ENSP00000358511	ENSP00000280155	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.207	0.917
GRIK2	CAMK2B	1859983	1858327	ENSP00000397026	ENSP00000379098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.424	0.424
DRD2	HTR1D	1854237	1849640	ENSP00000354859	ENSP00000313661	0.000	0.000	0.000	0.725	0.000	0.000	0.900	0.417	0.910
CACNA2D1	CACNB2	1853424	1850200	ENSP00000349320	ENSP00000320025	0.000	0.000	0.000	0.000	0.000	0.566	0.720	0.752	0.967
CHRM1	CHRNB1	1848849	1848622	ENSP00000306490	ENSP00000304290	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.465	0.465
CUX2	DRD4	1844976	1842327	ENSP00000261726	ENSP00000176183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.403	0.403
CCR6	IL4	1852212	1843288	ENSP00000339393	ENSP00000231449	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.817	0.817
MTNR1A	APP	1848453	1846936	ENSP00000302811	ENSP00000284981	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.089	0.905
ADORA3	ADRA2A	1855085	1846654	ENSP00000358730	ENSP00000280155	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.061	0.902
CNR1	CHRM2	1855040	1850196	ENSP00000358511	ENSP00000319984	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.157	0.912
CAT	DAO	1843587	1843145	ENSP00000241052	ENSP00000228476	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.779	0.779
CNR1	GRM5	1855040	1848814	ENSP00000358511	ENSP00000306138	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.930	0.930
DLG2	FYN	1856435	1853081	ENSP00000365272	ENSP00000346671	0.462	0.000	0.000	0.000	0.000	0.077	0.000	0.935	0.965
ATP2A2	ANK3	1862138	1846690	ENSP00000440045	ENSP00000280772	0.000	0.000	0.000	0.000	0.144	0.074	0.000	0.330	0.422
HTR1A	KNG1	1849859	1845668	ENSP00000316244	ENSP00000265023	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.407	0.938
ADORA2B	HTR6	1848647	1847186	ENSP00000304501	ENSP00000289753	0.000	0.000	0.000	0.675	0.000	0.000	0.900	0.108	0.902
CREB1	AANAT	1859295	1844016	ENSP00000387699	ENSP00000250615	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.889	0.889
GABRB1	GAD2	1847577	1844680	ENSP00000295454	ENSP00000259271	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.482	0.482
CACNG2	GRIK5	1848138	1845238	ENSP00000300105	ENSP00000262895	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.347	0.686
CNTN6	CNTNAP1	1852517	1845578	ENSP00000341882	ENSP00000264638	0.000	0.000	0.000	0.000	0.144	0.000	0.000	0.724	0.754
IL1B	CREBBP	1845335	1845124	ENSP00000263341	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.207	0.917
GRM4	DRD2	1856056	1854237	ENSP00000363296	ENSP00000354859	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.233	0.920
MTNR1A	MCHR1	1848453	1843943	ENSP00000302811	ENSP00000249016	0.000	0.000	0.000	0.671	0.000	0.000	0.900	0.179	0.904
CREB1	APOE	1859295	1844127	ENSP00000387699	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.873	0.873
GPX1	BCL2	1860659	1851168	ENSP00000407375	ENSP00000329623	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.520	0.520
HTR1D	MTNR1B	1849640	1844486	ENSP00000313661	ENSP00000257068	0.000	0.000	0.000	0.638	0.000	0.000	0.900	0.102	0.902
HTR3A	HSPA5	1853212	1850618	ENSP00000347754	ENSP00000324173	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.076	0.591
ADCY2	CRH	1852643	1846502	ENSP00000342952	ENSP00000276571	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.069	0.902
CHRM4	CHRNB2	1860789	1854806	ENSP00000409378	ENSP00000357461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.482	0.482
FYN	CTLA4	1853081	1848585	ENSP00000346671	ENSP00000303939	0.000	0.000	0.000	0.000	0.000	0.946	0.900	0.415	0.996
CHRM5	CHRNB3	1857636	1847198	ENSP00000372750	ENSP00000289957	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.565	0.565
CASP3	MAPK1	1849375	1842512	ENSP00000311032	ENSP00000215832	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.757	0.758
BDKRB2	CHRM3	1848988	1844372	ENSP00000307713	ENSP00000255380	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.495	0.947
HTR1B	GRM6	1855143	1843281	ENSP00000358963	ENSP00000231188	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.177	0.914
CHRM5	CCKAR	1857636	1847590	ENSP00000372750	ENSP00000295589	0.000	0.000	0.000	0.636	0.000	0.000	0.900	0.187	0.905
CBS	CAT	1852819	1843587	ENSP00000344460	ENSP00000241052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.558	0.558
BDNF	DISC1	1861075	1854415	ENSP00000414303	ENSP00000355593	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.471	0.471
ADCY2	FOXO3	1852643	1852227	ENSP00000342952	ENSP00000339527	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.472	0.472
GNG2	GRM6	1851723	1843281	ENSP00000334448	ENSP00000231188	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
MCHR2	AGTR1	1846744	1846323	ENSP00000281806	ENSP00000273430	0.000	0.000	0.000	0.702	0.000	0.000	0.900	0.226	0.905
HOXA1	FOXQ1	1852676	1847795	ENSP00000343246	ENSP00000296839	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.835	0.835
BCL2	EGR1	1851168	1843543	ENSP00000329623	ENSP00000239938	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.905	0.905
CCK	GNG2	1851885	1851723	ENSP00000335657	ENSP00000334448	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.042	0.900
CAMK2A	CACNG2	1858598	1848138	ENSP00000381412	ENSP00000300105	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.125	0.908
CALCB	LHCGR	1853002	1847515	ENSP00000346017	ENSP00000294954	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
AR	ERBB4	1856164	1852571	ENSP00000363822	ENSP00000342235	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.345	0.418
GRM7	GRIN2C	1853578	1847389	ENSP00000350348	ENSP00000293190	0.000	0.000	0.000	0.000	0.000	0.095	0.000	0.603	0.625
GRM3	DTNBP1	1854350	1852490	ENSP00000355316	ENSP00000341680	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.504	0.504
IGF1	ESR1	1848439	1842435	ENSP00000302665	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.720	0.970
EGR1	ESR1	1843543	1842435	ENSP00000239938	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.074	0.000	0.534	0.550
ADRA1D	HTR2A	1857034	1856916	ENSP00000368766	ENSP00000367959	0.000	0.000	0.000	0.724	0.000	0.000	0.900	0.243	0.905
AVPR1A	CHRM3	1848027	1844372	ENSP00000299178	ENSP00000255380	0.000	0.000	0.000	0.622	0.000	0.000	0.900	0.202	0.906
NBEA	DCLK1	1858824	1844379	ENSP00000383295	ENSP00000255448	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.754	0.754
CREB1	IGF1	1859295	1848439	ENSP00000387699	ENSP00000302665	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.899	0.899
APOB	CCL2	1843345	1843055	ENSP00000233242	ENSP00000225831	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.456	0.456
GNAS	GNRHR	1855402	1843089	ENSP00000360141	ENSP00000226413	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.142	0.821
ADCY8	ADM	1847008	1846549	ENSP00000286355	ENSP00000278175	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.045	0.900
ATP13A4	EPHA5	1852184	1846339	ENSP00000339182	ENSP00000273854	0.000	0.000	0.000	0.000	0.707	0.000	0.000	0.000	0.707
GPX1	AKT1	1860659	1846136	ENSP00000407375	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.415	0.414
GNRH1	AGTR1	1846491	1846323	ENSP00000276414	ENSP00000273430	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GLRA1	GABRP	1860926	1845718	ENSP00000411593	ENSP00000265294	0.000	0.000	0.000	0.864	0.000	0.000	0.540	0.240	0.553
CHRM4	GRM4	1860789	1856056	ENSP00000409378	ENSP00000363296	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.222	0.918
CHRM2	MTNR1A	1850196	1848453	ENSP00000319984	ENSP00000302811	0.000	0.000	0.000	0.639	0.000	0.000	0.900	0.420	0.914
GAL	GALR3	1845782	1843944	ENSP00000265643	ENSP00000249041	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.963	0.996
MC5R	CRH	1850008	1846502	ENSP00000318077	ENSP00000276571	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.392	0.936
CREB1	ARNTL	1859295	1857849	ENSP00000387699	ENSP00000374357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.644	0.644
DRD3	MCHR2	1857726	1846744	ENSP00000373169	ENSP00000281806	0.000	0.000	0.000	0.639	0.000	0.000	0.900	0.000	0.900
CCKBR	GRP	1851860	1844471	ENSP00000335544	ENSP00000256857	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.659	0.964
AUTS2	GABRA4	1852768	1845523	ENSP00000344087	ENSP00000264318	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.493	0.493
GRIP1	GRIA4	1858557	1846800	ENSP00000381098	ENSP00000282499	0.000	0.000	0.000	0.000	0.000	0.551	0.000	0.609	0.817
FEZ1	BRD1	1846601	1842575	ENSP00000278919	ENSP00000216267	0.000	0.000	0.000	0.000	0.000	0.443	0.000	0.000	0.443
MAOA	AANAT	1852356	1844016	ENSP00000340684	ENSP00000250615	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.268	0.923
HSPA4	HSP90B1	1848476	1848102	ENSP00000302961	ENSP00000299767	0.000	0.000	0.000	0.000	0.547	0.299	0.000	0.837	0.943
HTR1E	BDKRB2	1848996	1848988	ENSP00000307766	ENSP00000307713	0.000	0.000	0.000	0.632	0.000	0.000	0.900	0.000	0.900
GLRA1	NDN	1860926	1851495	ENSP00000411593	ENSP00000332643	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.404	0.404
IL6	CCL2	1844631	1843055	ENSP00000258743	ENSP00000225831	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.962	0.962
LEP	IL2	1849557	1843096	ENSP00000312652	ENSP00000226730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.414	0.414
GABBR1	GABRB3	1856594	1848038	ENSP00000366233	ENSP00000299267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.632	0.632
GABRR2	GABRA6	1859084	1846394	ENSP00000386029	ENSP00000274545	0.000	0.000	0.000	0.856	0.000	0.000	0.540	0.697	0.585
ADRB2	ADCY8	1848724	1847008	ENSP00000305372	ENSP00000286355	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.061	0.902
ADCYAP1	ADM	1860929	1846549	ENSP00000411658	ENSP00000278175	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.070	0.903
EGR4	BDNF	1862295	1861075	ENSP00000445626	ENSP00000414303	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.854	0.854
GRP	GHRH	1844471	1843462	ENSP00000256857	ENSP00000237527	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.581	0.581
CREB1	CNR1	1859295	1855040	ENSP00000387699	ENSP00000358511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.499	0.499
FYN	EGF	1853081	1845705	ENSP00000346671	ENSP00000265171	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.090	0.905
AVP	CCK	1857196	1851885	ENSP00000369647	ENSP00000335657	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.581	0.956
HTR2A	CHRFAM7A	1856916	1848106	ENSP00000367959	ENSP00000299847	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.459	0.459
BDKRB2	DRD4	1848988	1842327	ENSP00000307713	ENSP00000176183	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GALR2	MTNR1B	1851174	1844486	ENSP00000329684	ENSP00000257068	0.000	0.000	0.000	0.679	0.000	0.000	0.900	0.102	0.902
DLG1	KCNJ6	1852968	1847122	ENSP00000345731	ENSP00000288309	0.000	0.000	0.000	0.000	0.000	0.616	0.000	0.145	0.658
ADRA2A	GNB3	1846654	1843188	ENSP00000280155	ENSP00000229264	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.455
GRIN1	MT-ND2	1855505	1854286	ENSP00000360608	ENSP00000355046	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.576
HTR1A	GAL	1849859	1845782	ENSP00000316244	ENSP00000265643	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.903	0.989
MMP9	CTSG	1855661	1842584	ENSP00000361405	ENSP00000216336	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.631	0.631
MTHFR	AGTR1	1856524	1846323	ENSP00000365775	ENSP00000273430	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.417	0.416
GCLM	GCLC	1855202	1843208	ENSP00000359258	ENSP00000229416	0.000	0.000	0.000	0.000	0.141	0.978	0.900	0.993	0.999
